chromosome,start,end,overlap,A,B,C
chr6,91650794,91651821,1,0,0,0
chr6,91660132,91661247,1,0,0,0
chr6,122290093,122291827,1,1,0,0
chr6,122291938,122293017,0,0,0,0
chr6,122612514,122613492,0,0,0,1
chr6,122613782,122614260,0,0,0,1
chr6,122640118,122640519,0,0,0,1
chr6,122652148,122653542,0,0,0,0
chr6,122657117,122657871,0,0,0,0
chr6,122714316,122715712,1,1,0,0
chr6,122715727,122715934,1,1,0,1
chr6,122715972,122716907,1,1,0,1
chr6,122720180,122720862,1,1,0,1
chr6,125383335,125384275,1,1,0,0
chr6,125392412,125393135,0,0,0,0
chr6,125397063,125398024,0,0,0,1
chr6,142458188,142458786,0,0,0,1
chr6,142458879,142459555,0,0,0,0
chr6,142459765,142460597,0,0,0,1
chr6,142461052,142461905,0,0,0,0
chr6,143047309,143048150,1,1,0,1
chr6,143057202,143057338,1,1,0,1
chr6,143065159,143065758,1,0,0,1
chr6,145223385,145224167,1,0,0,0
chr6,145224227,145225674,1,0,1,0
chr7,3193004,3193682,0,0,1,1
chr7,3200890,3201909,0,1,1,0
chr7,3203813,3204774,0,1,1,1
chr7,3206226,3207307,0,0,1,0
chr7,3210563,3211109,0,0,1,1
chr7,3211590,3212800,0,0,1,0
chr7,3213162,3214173,1,1,1,0
chr7,3217305,3218183,1,0,1,0
chr7,4772296,4773107,0,0,1,1
chr7,4776872,4777612,0,0,1,0
chr7,13599334,13600325,0,1,1,1
chr7,30982397,30983339,0,1,1,1
chr7,31248315,31249141,0,1,0,1
chr7,31249802,31250619,0,1,0,1
chr7,38812914,38813562,0,1,0,1
chr7,38813996,38814739,0,1,0,1
chr7,38815538,38816123,0,1,0,0
chr7,52806853,52807552,0,1,0,0
chr7,52814062,52814768,0,1,0,0
chr7,56592909,56593437,0,1,0,0
chr7,56602219,56604632,0,1,0,0
chr7,71092246,71093445,0,1,0,0
chr7,71098214,71098990,0,1,0,0
chr7,71101618,71102481,0,1,0,0
chr7,86355826,86357020,0,1,0,0
chr7,86367653,86368339,0,1,0,0
chr7,87159908,87160957,0,1,0,0
chr7,87169351,87169963,0,1,0,0
chr7,87274999,87276022,0,1,0,0
chr7,87333420,87334347,0,1,0,0
chr7,87344557,87345334,0,1,0,0
chr7,91027196,91028035,0,0,1,0
chr7,91033004,91033146,0,0,1,0
chr7,91033190,91034081,0,0,1,0
chr7,91039790,91040358,0,0,1,0
chr7,91050934,91051830,0,0,1,1
chr7,119831735,119832617,0,0,1,1
chr7,119834225,119835688,1,1,1,1
chr7,140304156,140304745,1,1,1,1
chr7,140306243,140307245,1,0,1,0
chr7,147131117,147132084,1,0,1,1
chr7,147132098,147132429,1,0,1,0
chr7,147135523,147136231,1,0,1,0
chr7,152036872,152037879,0,0,1,0
chr7,152043497,152044469,0,0,1,0
chr7,152049923,152050716,1,0,1,0
chr8,12499468,12500172,0,0,1,0
chr8,12501865,12503058,0,0,1,0
chr8,12503391,12504771,0,0,1,0
chr8,35023426,35024022,0,0,0,0
chr8,35024472,35025854,0,0,0,0
chr8,35026329,35027483,0,0,0,0
chr8,37602064,37603015,0,0,0,0
chr8,37610797,37611807,0,0,0,0
chr8,37611820,37612684,1,1,1,1
chr8,37612926,37613850,1,1,1,1
chr8,37642521,37643206,1,1,1,1
chr8,37643862,37644691,1,1,1,1
chr8,37656605,37657504,0,0,1,0
chr8,37666548,37667454,0,0,1,0
chr8,37669893,37670458,0,0,0,0
chr8,37671010,37671979,1,1,0,0
chr8,44405736,44406755,1,1,0,0
chr8,74834685,74835484,1,1,0,0
chr8,74836614,74837210,0,0,0,0
chr8,74839580,74840663,0,0,0,1
chr8,87174072,87174643,0,0,0,1
chr8,87996475,87997654,1,1,0,1
chr8,91514813,91516692,1,0,0,1
chr8,91526938,91528249,0,0,0,1
chr8,91530368,91530970,1,1,0,1
chr8,91539286,91540176,0,0,0,1
chr8,93351924,93352665,0,0,0,1
chr8,93354428,93355292,1,1,0,0
chr9,56382386,56383314,1,1,0,0
chr9,56395075,56395769,0,0,0,0
chr9,58119837,58120421,0,0,0,0
chr9,58121627,58123475,0,0,0,0
chr9,58126583,58128504,0,0,0,0
chr9,78207143,78208709,0,0,0,0
chr9,78212412,78213297,0,0,0,0
chr9,78213521,78214252,0,0,0,0
chr9,78215873,78217776,0,0,0,0
chr9,78218962,78219758,0,0,0,0
chr9,78221850,78223442,1,1,0,0
chr9,110849422,110851040,1,0,0,0
chr9,110862607,110863371,1,0,0,0
chr9,114458126,114458729,1,0,0,0
chr9,114466050,114466917,1,0,0,0
chr9,114473273,114474355,1,0,0,0
chr9,120585871,120586365,1,0,0,0
chr9,120588512,120589476,1,0,0,0
chr9,120599461,120600072,1,0,0,0
chr9,121244501,121245191,1,0,0,0
chr9,121246556,121247300,1,0,0,0
chr9,121253431,121254102,1,0,0,0
chr10,20802131,20802699,1,1,0,0
chr10,20807410,20808136,1,1,0,1
chr10,20810452,20811824,1,0,0,1
chr10,20821335,20822452,1,0,0,1
chr10,20829440,20830236,1,1,0,1
chr10,21546502,21547353,0,0,0,1
chr10,21548506,21549691,0,0,0,1
chr10,21700576,21701235,0,1,0,1
chr10,21701869,21702685,0,1,0,1
chr10,21707960,21708946,0,0,0,1
chr10,39977900,39978752,0,0,0,1
chr10,44110139,44110895,0,0,0,1
chr10,44111194,44112766,0,0,0,1
chr10,59420365,59421368,0,0,0,1
chr10,59426336,59426915,0,0,0,1
chr10,59427223,59427738,0,0,0,1
chr10,59435086,59435840,0,0,0,1
chr10,59436644,59437537,0,0,0,1
chr10,62346394,62347684,0,0,0,1
chr10,62355400,62356508,0,0,0,1
chr10,62358037,62358895,0,0,0,1
chr10,62359244,62360289,0,0,0,1
chr10,62360653,62361563,1,0,0,1
chr10,66380351,66381255,1,0,0,1
chr10,66382805,66383761,1,0,0,1
chr10,66546199,66547268,0,0,0,1
chr10,66558405,66559270,0,0,0,1
chr10,66562711,66563566,0,1,0,0
chr10,66563623,66564235,0,1,0,1
chr10,75335464,75336154,0,1,0,0
chr10,75344358,75345568,1,1,0,1
chr10,75400370,75401358,0,0,0,0
chr10,76655655,76656039,1,0,0,1
chr10,76656053,76656897,0,0,0,0
chr10,76661806,76662360,1,0,0,1
chr10,79508474,79509130,0,0,0,0
chr10,79509437,79510144,1,0,0,1
chr10,79510825,79511747,1,0,0,0
chr10,79513311,79515168,1,1,0,1
chr10,85002060,85003073,1,1,0,0
chr10,85005927,85006553,0,0,0,1
chr11,8466451,8467126,0,0,0,0
chr11,8468954,8470138,0,0,0,1
chr11,8475387,8476319,0,0,0,0
chr11,8485860,8486876,0,0,0,1
chr11,9015537,9017663,0,0,0,0
chr11,12357626,12358164,0,0,0,1
chr11,12367036,12367747,0,1,0,0
chr11,12369590,12370205,0,1,0,1
chr11,33427175,33427817,0,1,0,1
chr11,33433212,33434198,0,1,0,1
chr11,33436649,33438393,0,1,0,1
chr11,33443794,33444731,0,1,0,1
chr11,33450700,33451476,0,1,0,1
chr11,52173182,52173868,0,1,0,1
chr11,52184053,52184686,0,1,0,1
chr11,54767341,54768063,0,1,0,1
chr11,54771808,54772727,0,1,0,1
chr11,54785035,54785832,1,1,0,1
chr11,62324296,62325453,0,1,0,1
chr11,62326351,62327251,0,1,0,1
chr11,66733372,66734190,0,1,0,1
chr11,66746156,66746990,0,1,0,1
chr11,66824791,66825867,1,1,0,1
chr11,66831156,66831944,1,1,0,1
chr11,66833712,66834584,1,1,0,1
chr11,66837289,66838230,1,1,0,1
chr11,69517060,69518300,1,1,0,1
chr11,69521276,69522803,0,0,0,1
chr11,77697704,77698715,0,0,0,1
chr11,77704209,77704927,0,0,0,1
chr11,77707215,77707886,0,0,0,1
chr11,77718105,77718786,0,0,0,1
chr11,88481360,88482029,0,0,0,1
chr11,88485933,88486737,0,1,0,1
chr11,88490843,88491812,1,1,0,1
chr11,97517673,97518631,1,0,0,1
chr11,97522735,97524159,1,0,0,1
chr11,98823511,98824279,0,0,0,1
chr11,98825698,98826466,1,0,0,1
chr11,102190649,102191563,0,0,0,1
chr11,102192756,102193692,1,0,0,1
chr11,104150171,104151258,0,0,0,1
chr11,104156781,104157556,1,1,0,1
chr11,104166920,104167544,0,0,0,1
chr11,107296669,107297772,1,1,0,1
chr11,107310169,107310982,1,1,0,1
chr11,116943025,116943531,0,0,0,1
chr11,116952826,116953583,0,0,0,1
chr11,117833701,117834635,0,0,0,1
chr11,117835689,117837392,0,0,0,1
chr11,117837404,117837462,0,0,0,1
chr11,117837493,117838253,0,0,0,1
chr12,12790432,12791846,0,0,0,1
chr12,12793626,12794477,0,0,0,1
chr12,12794683,12795881,0,0,1,1
chr12,12810177,12811020,0,0,1,1
chr12,12933791,12934743,0,0,1,0
chr12,12945289,12946165,0,0,1,0
chr12,12948436,12950936,0,0,1,0
chr12,55407498,55408159,0,0,1,0
chr12,55413334,55415046,0,0,1,0
chr12,56587347,56587911,0,0,1,0
chr12,56596807,56597774,0,0,1,0
chr12,56606048,56607146,0,0,1,0
chr12,57385208,57385771,0,0,1,0
chr12,57385850,57386427,0,0,1,0
chr12,57397185,57398220,0,0,0,0
chr12,57399127,57400114,1,0,0,0
chr12,87807046,87807624,1,0,0,0
chr12,87811648,87812700,1,0,0,0
chr12,87819675,87820319,1,0,0,0
chr12,87839385,87840360,1,0,0,0
chr12,87842071,87843393,1,0,0,0
chr12,87844939,87846192,1,0,0,0
chr12,88239069,88239980,0,0,0,0
chr12,88244634,88245155,0,0,0,0
chr12,103940487,103941199,0,0,0,0
chr12,103952135,103953004,0,1,0,0
chr12,111655417,111656705,0,1,0,0
chr12,111709296,111710011,0,1,0,0
chr12,111710204,111710269,0,1,0,0
chr12,111710270,111710794,0,1,0,0
chr12,111725920,111726579,0,0,0,0
chr12,111737149,111737951,1,1,0,0
chr12,111742841,111743677,1,0,0,0
chr13,64069823,64070583,1,0,0,0
chr13,64080691,64082322,1,0,0,0
chr13,96295094,96295862,1,0,0,0
chr13,96303879,96304678,0,0,0,0
chr13,96304856,96304906,0,0,1,0
chr13,96305043,96306119,0,0,1,0
chr13,98052562,98053557,0,0,1,0
chr13,98062099,98062842,0,0,1,0
chr13,98202400,98203140,1,1,1,0
chr13,98204787,98205450,0,0,1,0
chr13,98217919,98218657,1,1,1,0
chr13,98224554,98225162,1,0,0,0
chr13,110418702,110419248,1,0,0,0
chr13,110422180,110424078,1,1,0,0
chr13,110434008,110434790,0,0,0,0
chr13,110441885,110442750,0,0,0,0
chr14,22293688,22294265,0,1,0,0
chr14,22303078,22303905,0,1,0,0
chr14,22305075,22305784,0,1,0,0
chr14,22308429,22308989,0,0,0,0
chr14,49273113,49273728,0,0,0,0
chr14,49273861,49275263,1,1,0,0
