location,signal1,signal2,signal3
3111,173.7086688,136.9702614,141.7545137
3112,206.6534164,179.6622909,118.5583205
3113,194.6735082,98.41402223,164.9507068
3114,215.6383475,223.5550338,182.9921904
3115,428.281718,182.5528971,210.1188496
3116,416.3018098,367.2403957,272.4908356
3117,227.6182557,165.2982018,259.6684955
3118,173.7086688,202.7871403,177.8374808
3119,125.7890361,179.9291161,254.2560504
3120,161.7287607,154.4917819,199.3583933
3121,95.83926557,113.8454121,115.9809657
3122,161.7287607,186.7776292,182.9921904
3123,56.90456393,140.5279305,97.93948216
3124,119.799082,382.4494312,175.260126
3125,119.799082,122.2948762,118.5583205
3126,71.87944918,78.71342944,118.5583205
3127,62.89451803,90.72056274,85.05270819
3128,74.87442623,74.71105167,92.78477258
3129,116.8041049,99.61473556,82.4753534
3130,44.92465574,55.14387147,82.4753534
3131,61.0975318,81.82638993,103.0941918
3132,732.5713862,213.4601476,195.8789643
3133,757.7291934,156.5374416,151.8706312
3134,161.7287607,117.4030812,92.97807419
3135,101.8292197,74.71105167,144.3318685
3136,101.8292197,101.9272205,134.0224493
3137,80.86438033,68.84089761,54.12445067
3138,122.794059,117.4030812,110.8262561
3139,65.88949508,72.93221711,106.3803191
3140,71.87944918,76.48988624,94.6533548
