REGION_ID	CHROM	START	STOP	EC_BRD4_TNF_peaks	EC_P65_TNF_peaks	EC_BRD4_CON_peaks
4_MACS_peak_3006_lociStitched	chr13	76324972	76359415	1	1	1
6_MACS_peak_6191_lociStitched	chr20	49409892	49444333	1	1	1
6_MACS_peak_4445_lociStitched	chr17	55185300	55219664	1	1	1
5_MACS_peak_7139_lociStitched	chr3	171926561	171960831	1	1	1
5_MACS_peak_2888_lociStitched	chr13	39334529	39368761	1	1	1
5_MACS_peak_10436_lociStitched	chr9	138656479	138690634	1	1	1
4_MACS_peak_3280_lociStitched	chr14	68299135	68333075	1	1	1
6_MACS_peak_6797_lociStitched	chr3	57911800	57945242	1	1	1
7_MACS_peak_5510_lociStitched	chr2	100858095	100891383	1	1	1
4_MACS_peak_2633_lociStitched	chr12	91919070	91952276	1	1	1
4_MACS_peak_2218_lociStitched	chr12	6093515	6126654	1	0	1
4_MACS_peak_3481_lociStitched	chr15	37189033	37221966	1	1	1
4_MACS_peak_331_lociStitched	chr1	58992384	59025297	1	1	1
7_MACS_peak_2430_lociStitched	chr12	50574769	50607434	1	1	1
7_MACS_peak_10509_lociStitched	chrX	15425762	15458032	1	1	1
6_MACS_peak_2007_lociStitched	chr11	86304610	86336818	1	1	1
5_MACS_peak_9687_lociStitched	chr8	29519899	29551835	1	1	1
5_MACS_peak_522_lociStitched	chr1	94473138	94504904	1	0	1
6_MACS_peak_3114_lociStitched	chr14	22361461	22392908	1	1	1
4_MACS_peak_2440_lociStitched	chr12	50843666	50874659	1	0	1
6_MACS_peak_1250_lociStitched	chr10	31312537	31343346	1	1	1
6_MACS_peak_4576_lociStitched	chr17	72604085	72634861	1	1	1
5_MACS_peak_505_lociStitched	chr1	93902071	93932801	1	1	1
6_MACS_peak_6642_lociStitched	chr3	30532362	30563015	1	1	1
4_MACS_peak_3254_lociStitched	chr14	64765761	64796302	0	1	1
4_MACS_peak_1981_lociStitched	chr11	85844383	85874894	1	1	1
4_MACS_peak_569_lociStitched	chr1	101473316	101503763	1	1	1
4_MACS_peak_9069_lociStitched	chr7	22567085	22597429	1	0	1
6_MACS_peak_9076_lociStitched	chr7	22653224	22683495	1	1	1
7_MACS_peak_3324_lociStitched	chr14	74495723	74525949	1	1	1
4_MACS_peak_2386_lociStitched	chr12	45109653	45139711	1	1	1
5_MACS_peak_5185_lociStitched	chr2	9291577	9321615	1	1	1
7_MACS_peak_5912_lociStitched	chr2	231734270	231764207	1	1	1
5_MACS_peak_361_lociStitched	chr1	59968508	59998318	0	0	1
6_MACS_peak_344_lociStitched	chr1	59118975	59148675	1	1	1
3_MACS_peak_5279_lociStitched	chr2	36622176	36651868	1	1	1
3_MACS_peak_4484_lociStitched	chr17	59810975	59840303	1	0	1
5_MACS_peak_2686_lociStitched	chr12	95336638	95365855	1	1	1
4_MACS_peak_1377_lociStitched	chr10	73726586	73755695	1	1	1
4_MACS_peak_3587_lociStitched	chr15	55630063	55659162	1	1	1
4_MACS_peak_9781_lociStitched	chr8	55225272	55254274	1	1	1
6_MACS_peak_4046_lociStitched	chr16	76160381	76189216	1	1	1
5_MACS_peak_3467_lociStitched	chr15	36896793	36925530	1	1	1
4_MACS_peak_6752_lociStitched	chr3	50239452	50268084	1	1	1
5_MACS_peak_4551_lociStitched	chr17	71186932	71215559	0	0	1
6_MACS_peak_7795_lociStitched	chr5	39127902	39155119	1	1	1
4_MACS_peak_7800_lociStitched	chr5	39536924	39564114	1	1	1
3_MACS_peak_1067_lociStitched	chr1	242529160	242556206	1	0	1
6_MACS_peak_2370_lociStitched	chr12	41947194	41974160	1	0	1
4_MACS_peak_10106_lociStitched	chr9	16692184	16718544	1	1	1
4_MACS_peak_7097_lociStitched	chr3	159900466	159926818	0	1	1
3_MACS_peak_7824_lociStitched	chr5	43019911	43046071	1	0	1
4_MACS_peak_5552_lociStitched	chr2	110206078	110232187	1	0	1
6_MACS_peak_9965_lociStitched	chr8	128988510	129014597	1	1	1
4_MACS_peak_2754_lociStitched	chr12	116584360	116610254	1	1	1
4_MACS_peak_2172_lociStitched	chr11	128066776	128092551	1	1	1
5_MACS_peak_1902_lociStitched	chr11	68820800	68846537	1	1	1
4_MACS_peak_3510_lociStitched	chr15	40012954	40038372	1	1	1
4_MACS_peak_6089_lociStitched	chr20	29750363	29775687	1	1	1
4_MACS_peak_7267_lociStitched	chr3	196302680	196327919	1	1	1
4_MACS_peak_6060_lociStitched	chr20	23010889	23035974	1	1	1
6_MACS_peak_9667_lociStitched	chr8	26353545	26378628	1	1	1
4_MACS_peak_7168_lociStitched	chr3	173329980	173354940	1	1	1
4_MACS_peak_3976_lociStitched	chr16	64950227	64974997	1	1	1
3_MACS_peak_9084_lociStitched	chr7	23340242	23364830	1	1	1
8_MACS_peak_1466_lociStitched	chr10	95208095	95232658	1	1	1
3_MACS_peak_7492_lociStitched	chr4	91016086	91040511	1	1	1
6_MACS_peak_2125_lociStitched	chr11	121552560	121576924	1	1	1
4_MACS_peak_9334_lociStitched	chr7	104388361	104412622	1	1	1
3_MACS_peak_9869_lociStitched	chr8	96762393	96786599	1	1	1
4_MACS_peak_4956_lociStitched	chr19	13810401	13834530	1	1	1
6_MACS_peak_397_lociStitched	chr1	66569603	66593531	1	1	1
3_MACS_peak_350_lociStitched	chr1	59300113	59323977	1	1	1
3_MACS_peak_7273_lociStitched	chr3	196342797	196366511	1	1	1
3_MACS_peak_542_lociStitched	chr1	98560606	98584297	1	0	1
5_MACS_peak_1135_lociStitched	chr10	8124753	8148356	1	1	1
4_MACS_peak_7474_lociStitched	chr4	86901588	86925173	1	1	1
4_MACS_peak_8566_lociStitched	chr6	30822891	30846285	1	1	1
4_MACS_peak_1229_lociStitched	chr10	30111434	30134814	1	1	1
3_MACS_peak_9364_lociStitched	chr7	107421854	107445164	1	1	1
3_MACS_peak_5778_lociStitched	chr2	192417675	192440792	1	1	1
4_MACS_peak_2710_lociStitched	chr12	104384024	104406702	1	1	1
5_MACS_peak_2465_lociStitched	chr12	53091054	53113648	1	1	1
3_MACS_peak_6656_lociStitched	chr3	32417450	32439702	1	1	1
4_MACS_peak_4037_lociStitched	chr16	75878586	75900737	1	1	1
4_MACS_peak_3276_lociStitched	chr14	68211004	68233141	1	1	1
6_MACS_peak_1181_lociStitched	chr10	17068025	17090025	1	0	1
3_MACS_peak_1315_lociStitched	chr10	44790821	44812596	0	0	1
3_MACS_peak_9322_lociStitched	chr7	102299221	102320981	1	1	1
1_MACS_peak_3495_lociStitched	chr15	37657025	37678781	1	0	1
6_MACS_peak_936_lociStitched	chr1	206440709	206462423	1	1	1
3_MACS_peak_8616_lociStitched	chr6	34299186	34320815	1	1	1
2_MACS_peak_2681_lociStitched	chr12	95110077	95131685	1	1	1
3_MACS_peak_4718_lociStitched	chr18	21061322	21082559	1	1	1
4_MACS_peak_9708_lociStitched	chr8	32524596	32545816	1	1	1
3_MACS_peak_8010_lociStitched	chr5	81717849	81739066	1	1	1
4_MACS_peak_3787_lociStitched	chr15	93628884	93649897	1	1	1
5_MACS_peak_4102_lociStitched	chr16	85252370	85273102	1	1	1
3_MACS_peak_10573_lociStitched	chrX	45441032	45461702	1	1	1
5_MACS_peak_9444_lociStitched	chr7	130957977	130978513	1	1	1
2_MACS_peak_4643_lociStitched	chr18	3437167	3457561	1	0	1
5_MACS_peak_9947_lociStitched	chr8	128287009	128307363	1	1	1
4_MACS_peak_5817_lociStitched	chr2	201688649	201708781	1	1	1
3_MACS_peak_9461_lociStitched	chr7	133948161	133968142	1	1	1
4_MACS_peak_549_lociStitched	chr1	99876240	99896084	0	0	1
3_MACS_peak_1056_lociStitched	chr1	241481339	241501167	1	1	1
4_MACS_peak_1522_lociStitched	chr10	104377252	104396876	1	1	1
3_MACS_peak_6596_lociStitched	chr3	15646161	15665726	1	1	1
3_MACS_peak_7945_lociStitched	chr5	71565251	71584813	1	1	1
5_MACS_peak_7907_lociStitched	chr5	60643669	60663220	0	0	1
3_MACS_peak_2708_lociStitched	chr12	104345555	104364948	1	1	1
2_MACS_peak_2265_lociStitched	chr12	11839866	11859211	1	1	1
3_MACS_peak_7153_lociStitched	chr3	172988601	173007940	1	1	1
2_MACS_peak_1117_lociStitched	chr10	4795079	4814397	1	1	1
4_MACS_peak_9570_lociStitched	chr8	8965039	8984294	1	1	1
4_MACS_peak_8444_lociStitched	chr6	12675508	12694754	1	1	1
5_MACS_peak_667_lociStitched	chr1	152723135	152742293	1	1	1
3_MACS_peak_4376_lociStitched	chr17	42654789	42673870	1	1	1
3_MACS_peak_6669_lociStitched	chr3	38738437	38757365	0	0	1
3_MACS_peak_9997_lociStitched	chr8	142100075	142118987	1	1	1
2_MACS_peak_9397_lociStitched	chr7	115937255	115956070	1	1	1
4_MACS_peak_4950_lociStitched	chr19	13121602	13140209	1	1	1
4_MACS_peak_8915_lociStitched	chr6	148802791	148821353	1	1	1
4_MACS_peak_8440_lociStitched	chr6	12636467	12654993	1	1	1
3_MACS_peak_2689_lociStitched	chr12	95402742	95421233	1	0	1
4_MACS_peak_9453_lociStitched	chr7	131749255	131767639	1	1	1
4_MACS_peak_5222_lociStitched	chr2	20630253	20648618	1	1	1
3_MACS_peak_10261_lociStitched	chr9	100126030	100144345	0	1	1
2_MACS_peak_2002_lociStitched	chr11	86188043	86206318	1	0	1
4_MACS_peak_6376_lociStitched	chr22	18242196	18260371	1	1	1
2_MACS_peak_2904_lociStitched	chr13	39661772	39679922	1	1	1
2_MACS_peak_2011_lociStitched	chr11	86741115	86759233	1	1	1
3_MACS_peak_7379_lociStitched	chr4	40896025	40914114	1	1	1
4_MACS_peak_6124_lociStitched	chr20	36213635	36231683	1	1	1
3_MACS_peak_790_lociStitched	chr1	171425655	171443685	1	1	1
4_MACS_peak_6067_lociStitched	chr20	23071011	23088803	0	0	1
4_MACS_peak_7025_lociStitched	chr3	150570708	150588304	1	1	1
2_MACS_peak_7666_lociStitched	chr4	153383731	153401189	1	1	1
3_MACS_peak_10052_lociStitched	chr9	6541236	6558683	1	1	1
4_MACS_peak_7392_lociStitched	chr4	55490051	55507367	0	0	1
3_MACS_peak_2143_lociStitched	chr11	124121586	124138672	1	1	1
3_MACS_peak_6274_lociStitched	chr21	26245726	26262791	1	1	1
4_MACS_peak_6884_lociStitched	chr3	100162959	100180011	1	1	1
3_MACS_peak_7632_lociStitched	chr4	145718833	145735861	1	1	1
4_MACS_peak_7145_lociStitched	chr3	172390600	172407511	1	1	1
4_MACS_peak_6248_lociStitched	chr20	62139895	62156667	1	0	1
2_MACS_peak_7180_lociStitched	chr3	178544995	178561706	1	1	1
3_MACS_peak_573_lociStitched	chr1	101526085	101542720	1	1	1
4_MACS_peak_3460_lociStitched	chr15	33769720	33786231	1	0	1
4_MACS_peak_5537_lociStitched	chr2	105371598	105388103	1	0	1
3_MACS_peak_336_lociStitched	chr1	59078153	59094626	1	1	1
4_MACS_peak_5316_lociStitched	chr2	42993563	43009971	1	1	1
2_MACS_peak_5983_lociStitched	chr20	1250668	1267042	1	0	1
3_MACS_peak_9598_lociStitched	chr8	13254515	13270762	1	1	1
2_MACS_peak_7125_lociStitched	chr3	170695258	170711504	1	1	1
3_MACS_peak_3306_lociStitched	chr14	73277458	73293675	1	1	1
2_MACS_peak_368_lociStitched	chr1	61186424	61202636	1	1	1
4_MACS_peak_96_lociStitched	chr1	16337541	16353454	1	1	1
2_MACS_peak_9914_lociStitched	chr8	119412906	119428668	1	1	1
3_MACS_peak_2164_lociStitched	chr11	127703699	127719433	1	1	1
1_MACS_peak_10129_lociStitched	chr9	21664134	21679863	1	1	1
4_MACS_peak_3288_lociStitched	chr14	68574057	68589730	0	0	1
3_MACS_peak_1608_lociStitched	chr10	129664921	129680591	1	1	1
3_MACS_peak_4128_lociStitched	chr16	87909342	87924952	1	1	1
5_MACS_peak_7400_lociStitched	chr4	55732962	55748525	1	0	1
4_MACS_peak_3352_lociStitched	chr14	76483225	76498750	1	1	1
4_MACS_peak_9614_lociStitched	chr8	17506713	17522159	0	0	1
3_MACS_peak_4448_lociStitched	chr17	55260934	55276357	1	1	1
3_MACS_peak_9156_lociStitched	chr7	40302397	40317809	1	0	1
3_MACS_peak_10474_lociStitched	chrX	12898348	12913680	1	0	1
3_MACS_peak_1030_lociStitched	chr1	232801125	232816375	1	0	1
2_MACS_peak_1449_lociStitched	chr10	92666742	92681930	1	1	1
3_MACS_peak_152_lociStitched	chr1	23752935	23767849	1	1	1
4_MACS_peak_2679_lociStitched	chr12	95080775	95095645	1	0	1
2_MACS_peak_9500_lociStitched	chr7	142203193	142218043	0	1	1
2_MACS_peak_7053_lociStitched	chr3	153517750	153532590	1	1	1
4_MACS_peak_7683_lociStitched	chr4	159299387	159314144	1	1	1
3_MACS_peak_2738_lociStitched	chr12	110318948	110333481	1	1	1
3_MACS_peak_10568_lociStitched	chrX	45248932	45263362	1	1	1
3_MACS_peak_1068_lociStitched	chr1	242571047	242585473	1	1	1
2_MACS_peak_1155_lociStitched	chr10	13963243	13977234	1	1	1
3_MACS_peak_1427_lociStitched	chr10	82246524	82260501	1	1	1
2_MACS_peak_4065_lociStitched	chr16	80276164	80290072	1	1	1
3_MACS_peak_9705_lociStitched	chr8	32299815	32313604	1	1	1
2_MACS_peak_4646_lociStitched	chr18	3583080	3596765	1	1	1
3_MACS_peak_3473_lociStitched	chr15	36962771	36976432	1	1	1
3_MACS_peak_9785_lociStitched	chr8	55401423	55414971	1	1	1
3_MACS_peak_10032_lociStitched	chr9	672284	685791	1	1	1
1_MACS_peak_7176_lociStitched	chr3	174938872	174952281	1	1	1
4_MACS_peak_6273_lociStitched	chr21	26219215	26232458	1	1	1
2_MACS_peak_2363_lociStitched	chr12	41637716	41650921	1	1	1
3_MACS_peak_7990_lociStitched	chr5	77849745	77862860	1	1	1
2_MACS_peak_3883_lociStitched	chr16	20817899	20831013	1	1	1
3_MACS_peak_9274_lociStitched	chr7	93612542	93625595	1	0	1
3_MACS_peak_6390_lociStitched	chr22	20621738	20634737	1	1	1
2_MACS_peak_1261_lociStitched	chr10	32025477	32038304	1	1	1
3_MACS_peak_10376_lociStitched	chr9	129637541	129650367	1	1	1
4_MACS_peak_7872_lociStitched	chr5	56819129	56831844	1	0	1
3_MACS_peak_7916_lociStitched	chr5	64529161	64541870	1	1	1
2_MACS_peak_4032_lociStitched	chr16	73930731	73943316	1	1	1
2_MACS_peak_8407_lociStitched	chr6	7936572	7949101	1	1	1
1_MACS_peak_4739_lociStitched	chr18	31289807	31302248	1	1	1
4_MACS_peak_3866_lociStitched	chr16	15988350	16000688	0	1	1
3_MACS_peak_5434_lociStitched	chr2	70212278	70224414	1	1	1
2_MACS_peak_10093_lociStitched	chr9	14301666	14313686	1	1	1
3_MACS_peak_6650_lociStitched	chr3	30696745	30708759	1	1	1
MACS_peak_9112	chr7	27156428	27168411	1	0	1
3_MACS_peak_1666_lociStitched	chr11	10551044	10563000	0	0	1
2_MACS_peak_1680_lociStitched	chr11	12057887	12069590	1	0	1
3_MACS_peak_2538_lociStitched	chr12	64282163	64293599	1	1	1
3_MACS_peak_1810_lociStitched	chr11	59683217	59694565	1	1	1
1_MACS_peak_7128_lociStitched	chr3	170858775	170870049	1	1	1
3_MACS_peak_6681_lociStitched	chr3	39923476	39934735	1	1	1
3_MACS_peak_5603_lociStitched	chr2	134286341	134297552	1	1	1
2_MACS_peak_7199_lociStitched	chr3	182822152	182833227	1	0	1
3_MACS_peak_6098_lociStitched	chr20	30516607	30527644	1	1	1
2_MACS_peak_1246_lociStitched	chr10	31140368	31151362	1	1	1
2_MACS_peak_7920_lociStitched	chr5	64804514	64815453	1	1	1
2_MACS_peak_1984_lociStitched	chr11	85903574	85914462	1	1	1
2_MACS_peak_8423_lociStitched	chr6	11713006	11723889	1	1	1
3_MACS_peak_8403_lociStitched	chr6	7846417	7857247	1	1	1
4_MACS_peak_7885_lociStitched	chr5	57783654	57794476	1	0	1
2_MACS_peak_334_lociStitched	chr1	59051950	59062700	1	1	1
2_MACS_peak_9275_lociStitched	chr7	93641394	93652071	1	1	1
2_MACS_peak_7107_lociStitched	chr3	161052493	161063084	0	1	1
3_MACS_peak_4591_lociStitched	chr17	73882034	73892563	1	1	1
2_MACS_peak_6637_lociStitched	chr3	30301358	30311850	1	1	1
2_MACS_peak_9662_lociStitched	chr8	26170951	26181442	1	1	1
1_MACS_peak_7870_lociStitched	chr5	56764470	56774938	1	1	1
4_MACS_peak_8162_lociStitched	chr5	135976511	135986867	1	1	1
3_MACS_peak_8431_lociStitched	chr6	12397335	12407668	1	1	1
2_MACS_peak_9020_lociStitched	chr7	5424618	5434755	1	1	1
1_MACS_peak_6639_lociStitched	chr3	30357342	30367348	1	1	1
1_MACS_peak_473_lociStitched	chr1	85813558	85823531	1	1	1
1_MACS_peak_1859_lociStitched	chr11	64942291	64952196	1	1	1
2_MACS_peak_2063_lociStitched	chr11	102999098	103008833	1	1	1
2_MACS_peak_5380_lociStitched	chr2	55995705	56005438	1	0	1
3_MACS_peak_4384_lociStitched	chr17	43668587	43678227	0	1	1
2_MACS_peak_6647_lociStitched	chr3	30673434	30683053	1	1	1
1_MACS_peak_7245_lociStitched	chr3	195333871	195343395	1	1	1
2_MACS_peak_7956_lociStitched	chr5	71887071	71896583	1	1	1
1_MACS_peak_3492_lociStitched	chr15	37436571	37446072	1	1	1
1_MACS_peak_6160_lociStitched	chr20	45414348	45423806	1	1	1
3_MACS_peak_7349_lociStitched	chr4	16468019	16477477	1	1	1
3_MACS_peak_593_lociStitched	chr1	112731956	112741241	1	1	1
2_MACS_peak_8817_lociStitched	chr6	121877811	121887091	1	1	1
2_MACS_peak_2610_lociStitched	chr12	88263545	88272764	1	1	1
3_MACS_peak_929_lociStitched	chr1	206124606	206133718	1	1	1
2_MACS_peak_5834_lociStitched	chr2	204680958	204690059	1	1	1
2_MACS_peak_9441_lociStitched	chr7	130244447	130253434	1	1	1
1_MACS_peak_6698_lociStitched	chr3	43404183	43413163	1	1	1
2_MACS_peak_6530_lociStitched	chr22	48710035	48718883	1	1	1
2_MACS_peak_4751_lociStitched	chr18	36198702	36207525	0	0	1
3_MACS_peak_2909_lociStitched	chr13	39910142	39918959	1	1	1
1_MACS_peak_1259_lociStitched	chr10	31642630	31651380	1	0	1
2_MACS_peak_8844_lociStitched	chr6	132309721	132318313	1	1	1
2_MACS_peak_438_lociStitched	chr1	78332989	78341568	1	1	1
2_MACS_peak_850_lociStitched	chr1	185178608	185187170	1	1	1
1_MACS_peak_7696_lociStitched	chr4	169252187	169260556	1	1	1
2_MACS_peak_3493_lociStitched	chr15	37507340	37515468	1	1	1
2_MACS_peak_1182_lociStitched	chr10	17104715	17112838	1	1	1
2_MACS_peak_7693_lociStitched	chr4	169054370	169062319	1	0	1
2_MACS_peak_436_lociStitched	chr1	78311474	78319367	1	0	1
2_MACS_peak_4055_lociStitched	chr16	79522853	79530703	1	1	1
1_MACS_peak_1095_lociStitched	chr10	3812153	3819925	1	1	1
2_MACS_peak_3778_lociStitched	chr15	93182965	93190723	1	1	1
2_MACS_peak_8425_lociStitched	chr6	11757286	11765007	1	1	1
2_MACS_peak_5312_lociStitched	chr2	42955759	42963371	1	1	1
2_MACS_peak_6084_lociStitched	chr20	29655227	29662826	1	1	1
1_MACS_peak_5381_lociStitched	chr2	56041515	56048951	1	1	1
2_MACS_peak_4800_lociStitched	chr18	52013975	52021388	1	1	1
1_MACS_peak_1326_lociStitched	chr10	53742694	53749952	1	1	1
1_MACS_peak_5706_lociStitched	chr2	172820909	172828141	1	1	1
1_MACS_peak_3378_lociStitched	chr14	85063003	85070118	1	1	1
1_MACS_peak_3314_lociStitched	chr14	74151127	74158171	1	1	1
2_MACS_peak_3476_lociStitched	chr15	37070275	37077290	1	1	1
1_MACS_peak_2146_lociStitched	chr11	124270056	124277036	1	1	1
2_MACS_peak_3178_lociStitched	chr14	45674098	45680963	1	1	1
1_MACS_peak_2114_lociStitched	chr11	118691046	118697885	1	1	1
1_MACS_peak_3791_lociStitched	chr15	93668367	93675058	1	0	1
1_MACS_peak_3156_lociStitched	chr14	37790864	37797267	1	1	1
1_MACS_peak_6044_lociStitched	chr20	19740601	19746931	1	1	1
1_MACS_peak_732_lociStitched	chr1	159433428	159439695	1	1	1
1_MACS_peak_3575_lociStitched	chr15	55412870	55419123	0	0	1
2_MACS_peak_1243_lociStitched	chr10	31112463	31118609	1	0	1
1_MACS_peak_4721_lociStitched	chr18	21181772	21187801	1	0	1
1_MACS_peak_2682_lociStitched	chr12	95314379	95320304	1	1	1
1_MACS_peak_1741_lociStitched	chr11	33665917	33671711	1	1	1
1_MACS_peak_6488_lociStitched	chr22	37899379	37905089	1	1	1
1_MACS_peak_8599_lociStitched	chr6	33043522	33049105	1	1	1
2_MACS_peak_8578_lociStitched	chr6	31634267	31639771	1	1	1
1_MACS_peak_8729_lociStitched	chr6	78056130	78061374	1	0	1
1_MACS_peak_7781_lociStitched	chr5	34690135	34695307	1	1	1
1_MACS_peak_10077_lociStitched	chr9	13694071	13699136	1	1	1
1_MACS_peak_2285_lociStitched	chr12	13141456	13146499	1	1	1
1_MACS_peak_9529_lociStitched	chr7	149956428	149961360	1	0	1
1_MACS_peak_2775_lociStitched	chr12	120721851	120726754	1	1	1
1_MACS_peak_4337_lociStitched	chr17	37922755	37927584	1	1	1
1_MACS_peak_9135_lociStitched	chr7	33731024	33735391	1	1	1
